central,tipus,pot,lat,long,col
Asco I-II,N,2060,41.2,0.56944444,#ff7f00
Vandellos II,N,1087,40.9514,0.8667,#ff7f00
Besos V,CC,873,41.41833333,2.22861111,#ff0000
Port Barcelona,CC,850,41.33666667,2.15916667,#ff0000
Besos III-IV,CC,826,41.41944444,2.22972222,#ff0000
Plana del Vent,CC,800,41.01917,0.83278,#ff0000
Estany Gento-Sallent,HR,468,42.51029,1.00337,#00ff00
Tarragona Power,CC,417,41.102141,1.22514,#ff0000
Santa Anna,H,304,41.88270833,0.58026667,#0000ff
Riba-roja,H,262.8,41.2434,0.432664,#0000ff
Moralets,HR,222,42.58803889,0.760375,#00ff00
Tavascan,H,152.5,42.6,1.3,#0000ff
Canelles,H,108,41.97861111,0.61222222,#0000ff
Aiguamox-Arties,H,99.17,2.699814,0.876692,#0000ff
Montamara,HR,90,42.66242,1.2593,#00ff00
Susqueda,H,86.3,41.98,2.5256,#0000ff
Camarasa,H,56,41.90806,0.886862,#0000ff
Sau,H,56,41.967647,2.413108,#0000ff
Llavorsí,H,54.8,42.4957,1.2105,#0000ff
Benos,H,53.1,42.737526,0.735291,#0000ff
Seròs II,HF,44.6,41.461666666667,0.41194444444444,#318CE7
Caldes,H,34,42.6,0.8,#0000ff
Flix,H,42.52,41.231043,0.550137,#0000ff
Pont de Rei,H,40.7,42.836666666667,0.7175,#0000ff
Oliana,H,37.89,42.098969444444,1.2965583333333,#0000ff
Talarn II,H,35.2,42.185778,0.900361,#0000ff
Rialb,H,34,41.94037222,1.193775,#0000ff
Esterri,HF,34.22,42.626997,1.126262,#318CE7
Terradets,H,32.5,42.055,0.888,#0000ff
Capdella II,H,31.75,42.5,1,#0000ff
Sant Antoni,H,30,42.20195,0.94997,#0000ff
Sant Maurici,H,15.5,42.5815,1.00975,#0000ff
Espot-Torrassa,H,9.76,42.5759,1.14229,#0000ff
El Pasteral,H,8,41.98619,2.6153,#0000ff
La Baells,H,7,42.121931,1.8783,#0000ff
